广东频道,#genre#
广东珠江,http://119.129.238.239:10000/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://202.168.187.208:9898/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://202.168.187.208:9898/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://202.168.187.208:9898/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8
广东新闻,http://183.237.246.14:32/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://123.122.163.183:19999/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://119.98.37.169:85/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://183.130.6.35:8889/rtp/233.50.200.187:5140$1920x1080
广东卫视,http://60.220.167.197:8083/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://61.188.254.152:9527/rtp/239.93.0.181:5140$1920x1080
广东卫视,http://27.11.54.45:8004/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://171.117.170.63:9999/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://27.9.88.181:55555/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://123.145.42.143:58888/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://60.220.167.130:8083/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://183.129.60.34:4022/rtp/233.50.200.187:5140$1920x1080
广东卫视,http://222.68.33.45:9898/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://144.52.199.156:8888/rtp/239.21.1.92:5002$1920x1080
广东卫视,http://27.16.219.181:4022/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://171.212.235.245:17777/rtp/239.93.0.181:5140$1920x1080
深圳卫视,http://111.193.236.10:9999/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://60.27.20.30:5555/rtp/225.1.1.117:5002$1920x1080
深圳卫视,http://60.220.167.197:8083/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://183.130.6.35:8889/rtp/233.50.201.101:5140$1920x1080
深圳卫视,http://61.188.254.152:9527/rtp/239.93.0.182:5140$1920x1080
深圳卫视,http://119.98.134.206:5555/rtp/239.254.96.137:8896$1920x1080
深圳卫视,http://222.68.33.45:9898/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://27.9.88.181:55555/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://119.98.133.99:4022/rtp/239.254.96.137:8896$1920x1080
深圳卫视,http://123.145.67.180:8002/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://183.129.60.34:4022/rtp/233.50.201.101:5140$1920x1080
深圳卫视,http://171.212.235.244:17777/rtp/239.93.0.182:5140$1920x1080
深圳卫视,http://27.16.219.181:4022/rtp/239.254.96.137:8896$1920x1080
深圳卫视,http://171.212.235.245:17777/rtp/239.93.0.182:5140$1920x1080
深圳卫视,http://171.127.71.107:8084/rtp/226.0.2.147:9088$1920x1080
央视频道,#genre#
CCTV-1,http://171.118.210.238:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://119.98.134.206:5555/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://221.205.202.113:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://183.130.6.35:8889/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://60.220.167.130:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://125.123.123.96:4022/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://171.116.183.226:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://61.188.254.152:9527/rtp/239.93.0.184:5140$1920x1080
CCTV-1,http://171.117.170.63:9999/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://27.11.54.45:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://27.9.88.181:55555/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://61.190.129.195:8686/rtp/238.1.78.166:7200$1920x1080
CCTV-1,http://123.145.42.143:58888/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://123.145.67.180:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://27.16.219.181:4022/rtp/239.254.96.96:8550$1920x1080
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2$1280x720
CCTV-2,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://113.195.162.70:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
